date,maxtemp_c,mintemp_c,windspeed_kph,avghumidity
2024-09-07,31.3,25.4,23.8,82
2024-09-08,31.7,25.1,20.9,78
2024-09-09,33.6,24.9,18.4,75
2024-09-10,32.4,25.2,13.3,79
2024-09-11,26.3,24.7,15.5,91
2024-09-12,30.1,25.1,14.0,87
2024-09-13,27.1,24.5,15.1,91
2024-09-14,28.2,24.6,18.4,88
